Ticker,Horizon,Model1,Model2,DM_stat,p_value,Winner
AAPL,1d,XGBoost,LSTM,-2.131510978840083,0.03351893011339953,XGBoost
JPM,1d,Naïve,LSTM,-2.507099788264708,0.012481876585802075,Naïve
JPM,1d,XGBoost,LSTM,-2.5341210148125075,0.011570526383838015,XGBoost
JNJ,1d,Naïve,LSTM,-2.1541083102499976,0.03169945197672404,Naïve
JNJ,1d,Random Forest,LSTM,-2.078978207200742,0.0381185585101399,Random Forest
JNJ,1d,XGBoost,LSTM,-2.7514906170161706,0.006143564117394079,XGBoost
XOM,1d,Naïve,LSTM,-2.48907711609302,0.013119129613127955,Naïve
XOM,1d,ARIMA,LSTM,-2.5409797315165332,0.011343711566031442,ARIMA
XOM,1d,Random Forest,LSTM,-2.149904029899706,0.032023340397996106,Random Forest
XOM,1d,XGBoost,LSTM,-2.58417137700251,0.010032846364324718,XGBoost
BTC,1d,Naïve,Random Forest,-2.4621937962320635,0.014026167502828599,Naïve
BTC,1d,Naïve,LSTM,-2.924800572235702,0.003547613146869165,Naïve
BTC,1d,ARIMA,Random Forest,-2.2331169852620567,0.025826724934163485,ARIMA
BTC,1d,ARIMA,LSTM,-3.183813561599707,0.001511719508620129,ARIMA
BTC,1d,Random Forest,XGBoost,2.2905785782355568,0.022256192083076765,XGBoost
BTC,1d,XGBoost,LSTM,-2.691765123984093,0.007261198061355675,XGBoost
AAPL,5d,Naïve,ARIMA,7.072675572347763,4.971227020314647e-12,ARIMA
AAPL,5d,Naïve,LSTM,-2.3556546739446746,0.018863319736991176,Naïve
AAPL,5d,ARIMA,Random Forest,-6.8906278895690525,1.6245231392659818e-11,ARIMA
AAPL,5d,ARIMA,XGBoost,-6.853062575352633,2.067856149883022e-11,ARIMA
AAPL,5d,ARIMA,LSTM,-7.602094861901949,1.385653650334343e-13,ARIMA
AAPL,5d,Random Forest,LSTM,-2.0975455065889483,0.03643120752264727,Random Forest
AAPL,5d,XGBoost,LSTM,-2.3990626487774986,0.01679087828695681,XGBoost
JPM,5d,Naïve,ARIMA,10.165131651397507,3.1291878047285228e-22,ARIMA
JPM,5d,Naïve,Random Forest,-2.697434897921957,0.007218487642314311,Naïve
JPM,5d,Naïve,XGBoost,2.381642367429703,0.01760074493276798,XGBoost
JPM,5d,Naïve,LSTM,-2.3891927262157697,0.01724714734426271,Naïve
JPM,5d,ARIMA,Random Forest,-9.651837225591144,2.325640746632567e-20,ARIMA
JPM,5d,ARIMA,XGBoost,-9.611045179555243,3.254423775985129e-20,ARIMA
JPM,5d,ARIMA,LSTM,-10.062527427896432,7.490808125124008e-22,ARIMA
JPM,5d,Random Forest,XGBoost,2.832296979846209,0.004803911029364789,XGBoost
JPM,5d,XGBoost,LSTM,-3.211011987198105,0.0014059383725538856,XGBoost
JNJ,5d,Naïve,ARIMA,9.896860015996149,3.0517676423834006e-21,ARIMA
JNJ,5d,Naïve,Random Forest,-2.0473402499991566,0.04113649821381321,Naïve
JNJ,5d,Naïve,XGBoost,2.9102621810747302,0.0037690772561752113,XGBoost
JNJ,5d,Naïve,LSTM,-4.690307282290854,3.507601518824128e-06,Naïve
JNJ,5d,ARIMA,Random Forest,-9.92855110453993,2.3389599256338524e-21,ARIMA
JNJ,5d,ARIMA,XGBoost,-9.75559368454551,9.921125137141146e-21,ARIMA
JNJ,5d,ARIMA,LSTM,-10.409297247093768,3.865846009839133e-23,ARIMA
JNJ,5d,Random Forest,XGBoost,3.123794516690882,0.0018868727475527844,XGBoost
JNJ,5d,Random Forest,LSTM,-2.4501365939838946,0.014615210187428845,Random Forest
JNJ,5d,XGBoost,LSTM,-5.319381075724499,1.5613299642901334e-07,XGBoost
XOM,5d,Naïve,ARIMA,8.737895535546286,3.273231823042882e-17,ARIMA
XOM,5d,Naïve,Random Forest,-4.856548524460963,1.5827705530664168e-06,Naïve
XOM,5d,Naïve,XGBoost,2.8886914268217305,0.004029779873519964,XGBoost
XOM,5d,Naïve,LSTM,-2.038877192463368,0.041967476252564945,Naïve
XOM,5d,ARIMA,Random Forest,-9.7049252491426,1.4105199363937932e-20,ARIMA
XOM,5d,ARIMA,XGBoost,-8.494852413367363,2.0951924415640584e-16,ARIMA
XOM,5d,ARIMA,LSTM,-8.806698533106493,1.9220305059613203e-17,ARIMA
XOM,5d,Random Forest,XGBoost,5.121914209144804,4.267972110557325e-07,XGBoost
XOM,5d,Random Forest,LSTM,2.854939736214028,0.004476386528499087,LSTM
XOM,5d,XGBoost,LSTM,-2.5553714824791514,0.010890896650463245,XGBoost
BTC,5d,Naïve,ARIMA,11.918122583714856,3.4970858475303575e-30,ARIMA
BTC,5d,Naïve,Random Forest,-6.557330984321747,1.0016054314803435e-10,Naïve
BTC,5d,Naïve,LSTM,-5.405989607573584,8.594164416137274e-08,Naïve
BTC,5d,ARIMA,Random Forest,-14.129720685128326,1.720815901322417e-40,ARIMA
BTC,5d,ARIMA,XGBoost,-12.166695711940328,2.7645921206361093e-31,ARIMA
BTC,5d,ARIMA,LSTM,-13.04608490465866,2.6544373796968504e-35,ARIMA
BTC,5d,Random Forest,XGBoost,6.2534493230358255,6.638711162365453e-10,XGBoost
BTC,5d,Random Forest,LSTM,2.2251662039818134,0.026357921796119607,LSTM
BTC,5d,XGBoost,LSTM,-4.628414144995513,4.320509478123177e-06,XGBoost
