Ticker,Horizon,Model_group,Rank,Feature
AAPL,1d,RF,1,Vol_rel
AAPL,1d,RF,2,Return_5d
AAPL,1d,RF,3,BB_Position
AAPL,1d,RF,4,VIX_vs_SMA20
AAPL,1d,RF,5,Day_Range
AAPL,1d,RF,6,MACD_Signal
AAPL,1d,RF,7,ATR_rel
AAPL,1d,RF,8,Price_vs_SMA20
JPM,1d,RF,1,Vol_ratio_10_60
JPM,1d,RF,2,Vol_percentile_60
JNJ,1d,RF,1,Vol_rel
JNJ,1d,RF,2,VIX_Return_1d
JNJ,1d,RF,3,Price_vs_SMA200
JNJ,1d,RF,4,Vol_ratio_5_20
JNJ,1d,RF,5,BB_Position
JNJ,1d,RF,6,MACD_Signal
JNJ,1d,RF,7,Price_vs_SMA50
JNJ,1d,RF,8,Momentum_10
XOM,1d,RF,1,VIX_Close
XOM,1d,RF,2,Price_vs_SMA50
XOM,1d,RF,3,Price_vs_SMA20
XOM,1d,RF,4,MACD_Hist
XOM,1d,RF,5,Vol_20d
XOM,1d,RF,6,Momentum_10
XOM,1d,RF,7,ATR_rel
XOM,1d,RF,8,Return_1d
BTC,1d,RF,1,Vol_of_vol
BTC,1d,RF,2,Return_1d
BTC,1d,RF,3,Vol_ratio_5_20
BTC,1d,RF,4,ATR_rel
BTC,1d,RF,5,Garman_Klass_vol
BTC,1d,RF,6,Price_vs_SMA20
BTC,1d,RF,7,Return_20d
BTC,1d,RF,8,Parkinson_vol
BTC,1d,RF,9,Price_vs_SMA200
BTC,1d,RF,10,MACD
BTC,1d,RF,11,RSI_14
BTC,1d,RF,12,Return_10d
AAPL,5d,RF,1,Day_Range
AAPL,5d,RF,2,Price_vs_SMA200
AAPL,5d,RF,3,Vol_zscore_60
AAPL,5d,RF,4,Vol_ratio_5_20
AAPL,5d,RF,5,Price_vs_SMA20
AAPL,5d,RF,6,Return_1d
AAPL,5d,RF,7,Price_vs_SMA50
AAPL,5d,RF,8,BB_Width
AAPL,5d,RF,9,Volume_vol_ratio
AAPL,5d,RF,10,Vol_percentile_60
AAPL,5d,RF,11,VIX_Close
JPM,5d,RF,1,Vol_mean_5d
JPM,5d,RF,2,Day_Range
JPM,5d,RF,3,MACD_Hist
JPM,5d,RF,4,Vol_20d
JPM,5d,RF,5,Return_5d_lag1
JPM,5d,RF,6,Momentum_5
JPM,5d,RF,7,Return_5d
JPM,5d,RF,8,Momentum_5d
JNJ,5d,RF,1,Day_Range
JNJ,5d,RF,2,Return_5d_lag1
JNJ,5d,RF,3,Vol_rel
JNJ,5d,RF,4,Return_5d
JNJ,5d,RF,5,Return_1d
JNJ,5d,RF,6,Price_vs_SMA200
JNJ,5d,RF,7,VIX_Close
JNJ,5d,RF,8,Vol_zscore_60
XOM,5d,RF,1,Momentum_5
XOM,5d,RF,2,RSI_5d
XOM,5d,RF,3,Vol_20d
XOM,5d,RF,4,ATR_rel
XOM,5d,RF,5,Volume_vol_ratio
XOM,5d,RF,6,RSI_14
XOM,5d,RF,7,Vol_of_vol
BTC,5d,RF,1,Return_1d
BTC,5d,RF,2,ATR_rel
BTC,5d,RF,3,Vol_20d
BTC,5d,RF,4,Volume_vol_ratio
BTC,5d,RF,5,Vol_zscore_60
BTC,5d,RF,6,Vol_of_vol
BTC,5d,RF,7,Vol_percentile_60
BTC,5d,RF,8,MACD_Hist
BTC,5d,RF,9,Return_20d
BTC,5d,RF,10,BB_Position
BTC,5d,RF,11,RSI_14
BTC,5d,RF,12,Momentum_10
BTC,5d,RF,13,Price_vs_SMA20
AAPL,1d,XGB_LSTM,1,Vol_rel
AAPL,1d,XGB_LSTM,2,Return_5d
AAPL,1d,XGB_LSTM,3,BB_Position
AAPL,1d,XGB_LSTM,4,Parkinson_vol
AAPL,1d,XGB_LSTM,5,VIX_Close
AAPL,1d,XGB_LSTM,6,Day_Range
AAPL,1d,XGB_LSTM,7,MACD_Signal
AAPL,1d,XGB_LSTM,8,VIX_SMA_20
JPM,1d,XGB_LSTM,1,MACD_Hist
JPM,1d,XGB_LSTM,2,Vol_ratio_10_60
JPM,1d,XGB_LSTM,3,Vol_percentile_60
JPM,1d,XGB_LSTM,4,Return_5d
JPM,1d,XGB_LSTM,5,Price_vs_SMA20
JPM,1d,XGB_LSTM,6,Return_10d
JPM,1d,XGB_LSTM,7,MACD_Signal
JPM,1d,XGB_LSTM,8,RSI_14
JNJ,1d,XGB_LSTM,1,Vol_rel
JNJ,1d,XGB_LSTM,2,VIX_Return_1d
JNJ,1d,XGB_LSTM,3,Price_vs_SMA200
JNJ,1d,XGB_LSTM,4,Vol_ratio_5_20
JNJ,1d,XGB_LSTM,5,BB_Position
JNJ,1d,XGB_LSTM,6,MACD_Signal
JNJ,1d,XGB_LSTM,7,BB_Width
JNJ,1d,XGB_LSTM,8,Price_vs_SMA20
JNJ,1d,XGB_LSTM,9,ATR_rel
JNJ,1d,XGB_LSTM,10,Vol_zscore_60
JNJ,1d,XGB_LSTM,11,VIX_SMA_20
JNJ,1d,XGB_LSTM,12,VIX_Close
JNJ,1d,XGB_LSTM,13,Vol_of_vol
XOM,1d,XGB_LSTM,1,BB_Position
XOM,1d,XGB_LSTM,2,MACD_Signal
XOM,1d,XGB_LSTM,3,Vol_percentile_60
XOM,1d,XGB_LSTM,4,VIX_vs_SMA20
XOM,1d,XGB_LSTM,5,RSI_14
XOM,1d,XGB_LSTM,6,VIX_SMA_20
XOM,1d,XGB_LSTM,7,Volume_vol_ratio
XOM,1d,XGB_LSTM,8,Vol_zscore_60
BTC,1d,XGB_LSTM,1,Vol_of_vol
BTC,1d,XGB_LSTM,2,Return_1d
BTC,1d,XGB_LSTM,3,Vol_rel
BTC,1d,XGB_LSTM,4,BB_Width
BTC,1d,XGB_LSTM,5,Day_Range
BTC,1d,XGB_LSTM,6,Vol_ratio_5_20
