name,units1,units2,dropout,rec_dropout,l2,seq_len,batch_size,lr,optimizer,loss,epochs,patience,RMSE,MAE,R2,DA,n_params,train_loss,val_loss,train_time_s,Horizon
baseline,16,0,0.3,0.0,0.0,10,32,0.001,adam,mse,19,10,0.017587478898634084,0.011807943722983294,0.002951365683115492,0.5338491295938105,3089,0.9222007393836975,0.43417200446128845,17.050419330596924,1d
arch_units1_4,4,0,0.3,0.0,0.0,10,32,0.001,adam,mse,35,10,0.017815382296626693,0.011900869957369624,-0.02305611754069692,0.5067698259187621,581,0.9624281525611877,0.43980592489242554,27.38068389892578,1d
arch_units1_8,8,0,0.3,0.0,0.0,10,32,0.001,adam,mse,35,10,0.018007436443952782,0.012063559337132422,-0.04523259736989016,0.5454545454545454,1289,0.8776093125343323,0.43501192331314087,26.996824502944946,1d
arch_units1_32,32,0,0.3,0.0,0.0,10,32,0.001,adam,mse,14,10,0.01805407736737675,0.01222880298402941,-0.05065410730904696,0.504835589941973,8225,0.886714518070221,0.44151031970977783,13.960604429244995,1d
arch_units1_64,64,0,0.3,0.0,0.0,10,32,0.001,adam,mse,11,10,0.017983049108973782,0.011981834913504769,-0.04240341323710495,0.5029013539651838,24641,0.8814100027084351,0.44727399945259094,13.053831577301025,1d
arch_2c_32_16,32,16,0.3,0.0,0.0,10,32,0.001,adam,mse,14,10,0.017578107438289806,0.011835023703254172,0.004013634172722158,0.4835589941972921,11345,0.9461585879325867,0.42575252056121826,21.478388786315918,1d
arch_2c_64_32,64,32,0.3,0.0,0.0,10,32,0.001,adam,mse,11,10,0.01776896758002491,0.01187211531022269,-0.017732290926153693,0.48549323017408125,37025,0.9304920434951782,0.4299262762069702,20.454299211502075,1d
arch_2c_128_64,128,64,0.3,0.0,0.0,10,32,0.001,adam,mse,12,10,0.01772954205058821,0.011913142993780265,-0.013221041723459948,0.4912959381044487,131393,0.9064757823944092,0.43186065554618835,26.46480679512024,1d
seq_3,16,0,0.3,0.0,0.0,3,32,0.001,adam,mse,28,10,0.017896383033859705,0.012193406899383006,-0.03238027190849557,0.5067698259187621,3089,0.8685629963874817,0.4515291154384613,18.25404405593872,1d
seq_5,16,0,0.3,0.0,0.0,5,32,0.001,adam,mse,16,10,0.01777005416096281,0.012186030003214846,-0.01785676437277428,0.4796905222437137,3089,0.9332610368728638,0.4358416497707367,11.838388442993164,1d
seq_20,16,0,0.3,0.0,0.0,20,32,0.001,adam,mse,12,10,0.01812959546709631,0.012241667916185988,-0.059462017248245846,0.4738878143133462,3089,0.955299437046051,0.43115100264549255,14.620952367782593,1d
seq_30,16,0,0.3,0.0,0.0,30,32,0.001,adam,mse,20,10,0.01806544915310767,0.012258184654744946,-0.05197808260263037,0.48549323017408125,3089,0.9294964075088501,0.46186500787734985,27.769847631454468,1d
seq_60,16,0,0.3,0.0,0.0,60,32,0.001,adam,mse,21,10,0.017925590657415412,0.012322546044172388,-0.035752794731302995,0.4874274661508704,3089,0.9109721183776855,0.4412510097026825,41.820619344711304,1d
drop_0.0,16,0,0.0,0.0,0.0,10,32,0.001,adam,mse,15,10,0.01777303597647015,0.012078561549728936,-0.01819838581055122,0.5377176015473888,3089,0.8238114714622498,0.44964897632598877,13.917733669281006,1d
drop_0.1,16,0,0.1,0.0,0.0,10,32,0.001,adam,mse,13,10,0.018129018392158427,0.0121830959210549,-0.059394571810924335,0.49709864603481624,3089,0.8972216844558716,0.4436958432197571,12.844303131103516,1d
drop_0.2,16,0,0.2,0.0,0.0,10,32,0.001,adam,mse,13,10,0.017881864589839654,0.012227611086076003,-0.030705913975644927,0.48549323017408125,3089,0.9186564087867737,0.460220605134964,13.33936595916748,1d
drop_0.5,16,0,0.5,0.0,0.0,10,32,0.001,adam,mse,22,10,0.017666653936108893,0.011880855999377712,-0.006045836467228005,0.4912959381044487,3089,0.9451537728309631,0.42607513070106506,18.8186194896698,1d
recdrop_0.1,16,0,0.3,0.1,0.0,10,32,0.001,adam,mse,22,10,0.017568330742634145,0.011759999422817082,0.005121233235052203,0.5299806576402321,3089,0.921850860118866,0.4262546896934509,26.752992153167725,1d
