Ticker,Model,n,TP,FP,FN,TN,Accuracy,Acc_CI_low,Acc_CI_high,Delta_acc_vs_baseline,Precision,Prec_CI_low,Prec_CI_high,Recall,Rec_CI_low,Rec_CI_high,F1,F1_CI_low,F1_CI_high
AAPL,Naïve (mayoría),517,278,239,0,0,0.5377176015473888,0.4951644100580271,0.5822533849129593,0.0,0.5377176015473888,0.4951644100580271,0.5822533849129593,1.0,1.0,1.0,0.6993710691823899,0.6623544631306598,0.735979905723182
AAPL,RF Classifier,517,164,145,114,94,0.4990328820116054,0.456431334622824,0.5377659574468084,-0.038684719535783396,0.5307443365695793,0.47633967367689234,0.5876623376623377,0.5899280575539568,0.5294067111380635,0.6492595014617634,0.5587734241908007,0.5097261931775207,0.6038977111996914
AAPL,XGB Classifier,517,217,194,61,45,0.5067698259187621,0.46034816247582205,0.5454545454545454,-0.030947775628626717,0.5279805352798054,0.4763062581641135,0.5750077160493826,0.7805755395683454,0.7266027036022428,0.8277341507422291,0.6298984034833092,0.5820730820781935,0.6666898470097358
AAPL,LSTM Classifier,517,180,140,98,99,0.539651837524178,0.4932301740812379,0.5803191489361701,0.0019342359767892114,0.5625,0.5090314215985356,0.6139364509344868,0.6474820143884892,0.5917307848884547,0.7022079872025145,0.6020066889632107,0.5536843698209899,0.6479538916204625
JPM,Naïve (mayoría),512,288,224,0,0,0.5625,0.51953125,0.603515625,0.0,0.5625,0.51953125,0.603515625,1.0,1.0,1.0,0.72,0.6838046272493573,0.7527405602923264
JPM,RF Classifier,512,194,129,94,95,0.564453125,0.521435546875,0.607470703125,0.001953125,0.6006191950464397,0.5465720607430518,0.6532656584901166,0.6736111111111112,0.6219910021492842,0.7276058810621022,0.6350245499181669,0.5888111138003872,0.6773701777617062
JPM,XGB Classifier,512,152,116,136,108,0.5078125,0.462890625,0.55078125,-0.0546875,0.5671641791044776,0.5076307180164151,0.6235751967785838,0.5277777777777778,0.47097972294719936,0.5830462308598351,0.5467625899280576,0.4952558858910466,0.5929854809437386
JPM,LSTM Classifier,512,127,88,161,136,0.513671875,0.47265625,0.55859375,-0.048828125,0.5906976744186047,0.5211036420543462,0.6513852754575745,0.4409722222222222,0.3797898381334627,0.49665926460168025,0.5049701789264414,0.44763715473272836,0.5568466467226291
JNJ,Naïve (mayoría),511,278,233,0,0,0.5440313111545988,0.49902152641878667,0.5851272015655578,0.0,0.5440313111545988,0.49902152641878667,0.5851272015655578,1.0,1.0,1.0,0.7046894803548795,0.6657963446475196,0.7382716049382716
JNJ,RF Classifier,511,126,104,152,129,0.4990215264187866,0.4520547945205479,0.5420743639921722,-0.045009784735812186,0.5478260869565217,0.48373311832291876,0.6106203757435078,0.4532374100719424,0.3946046737660581,0.5076041336712068,0.4960629921259842,0.44171779141104295,0.5468749999999999
JNJ,XGB Classifier,511,137,100,141,133,0.5283757338551859,0.48336594911937375,0.5714285714285714,-0.015655577299412915,0.5780590717299579,0.5144945724659158,0.64198975571316,0.4928057553956834,0.43430299763617947,0.5539642127860097,0.5320388349514563,0.4773130448080746,0.5831892089080359
JNJ,LSTM Classifier,511,168,135,110,98,0.5205479452054794,0.4794520547945205,0.5655577299412916,-0.023483365949119372,0.5544554455445545,0.5,0.6113269421730761,0.60431654676259,0.5507065217391305,0.6655459770114942,0.5783132530120482,0.5305283703032209,0.6296575101250219
XOM,Naïve (mayoría),521,278,243,0,0,0.5335892514395394,0.4932821497120921,0.5739443378119002,0.0,0.5335892514395394,0.4932821497120921,0.5739443378119002,1.0,1.0,1.0,0.6958698372966208,0.6606683804627249,0.7293069873146965
XOM,RF Classifier,521,144,139,134,104,0.4760076775431862,0.43186180422264875,0.5201535508637236,-0.05758157389635321,0.508833922261484,0.44963857221660386,0.5669132704025572,0.5179856115107914,0.45800105570894917,0.5783920073545316,0.5133689839572193,0.462087140081614,0.5628339096290218
XOM,XGB Classifier,521,150,147,128,96,0.472168905950096,0.43186180422264875,0.5106046065259117,-0.06142034548944342,0.5050505050505051,0.4533175675675675,0.5618383421771039,0.539568345323741,0.4823136737089202,0.5955152378020625,0.5217391304347826,0.4712373289236644,0.5672106638524548
XOM,LSTM Classifier,521,129,111,149,132,0.5009596928982726,0.45681381957773515,0.54510556621881,-0.03262955854126681,0.5375,0.4720782069623271,0.6,0.4640287769784172,0.40490067765081056,0.520474512583242,0.4980694980694981,0.44086982044897877,0.5478927203065134
BTC,Naïve (mayoría),774,390,384,0,0,0.5038759689922481,0.4689922480620155,0.5426356589147286,0.0,0.5038759689922481,0.4689922480620155,0.5426356589147286,1.0,1.0,1.0,0.6701030927835051,0.6385224274406333,0.7035175879396984
BTC,RF Classifier,774,213,212,177,172,0.4974160206718346,0.46508397932816536,0.5335917312661499,-0.006459948320413467,0.5011764705882353,0.4560501397708727,0.5495458021021797,0.5461538461538461,0.497408989097582,0.5942445106314777,0.5226993865030675,0.48110106489206134,0.5623491146180634
BTC,XGB Classifier,774,180,186,210,198,0.4883720930232558,0.45219638242894056,0.524547803617571,-0.015503875968992276,0.4918032786885246,0.4374543128654971,0.5434972024711504,0.4615384615384615,0.4096488350826972,0.5099009900990099,0.4761904761904761,0.42777738432483475,0.5202020202020202
BTC,LSTM Classifier,774,221,213,169,171,0.5064599483204134,0.47154392764857883,0.5400839793281653,0.0025839793281653423,0.5092165898617511,0.46436576354679804,0.554519302572922,0.5666666666666667,0.5162886955543472,0.6143625567467046,0.5364077669902912,0.4949103119831175,0.5745349482248521
