Model,Ticker,Accuracy,Precision,Recall,F1
Naïve (mayoría),AAPL,0.5377176015473888,0.5377176015473888,1.0,0.6993710691823899
RF Classifier,AAPL,0.4990328820116054,0.5307443365695793,0.5899280575539568,0.5587734241908007
XGB Classifier,AAPL,0.5067698259187621,0.5279805352798054,0.7805755395683454,0.6298984034833092
LSTM Classifier,AAPL,0.539651837524178,0.5625,0.6474820143884892,0.6020066889632107
Naïve (mayoría),JPM,0.5625,0.5625,1.0,0.72
RF Classifier,JPM,0.564453125,0.6006191950464397,0.6736111111111112,0.6350245499181669
XGB Classifier,JPM,0.5078125,0.5671641791044776,0.5277777777777778,0.5467625899280576
LSTM Classifier,JPM,0.513671875,0.5906976744186047,0.4409722222222222,0.5049701789264414
Naïve (mayoría),JNJ,0.5440313111545988,0.5440313111545988,1.0,0.7046894803548795
RF Classifier,JNJ,0.49902152641878667,0.5478260869565217,0.45323741007194246,0.49606299212598426
XGB Classifier,JNJ,0.5283757338551859,0.5780590717299579,0.49280575539568344,0.5320388349514563
LSTM Classifier,JNJ,0.5205479452054794,0.5544554455445545,0.60431654676259,0.5783132530120482
Naïve (mayoría),XOM,0.5335892514395394,0.5335892514395394,1.0,0.6958698372966208
RF Classifier,XOM,0.4760076775431862,0.508833922261484,0.5179856115107914,0.5133689839572193
XGB Classifier,XOM,0.472168905950096,0.5050505050505051,0.539568345323741,0.5217391304347826
LSTM Classifier,XOM,0.5009596928982726,0.5375,0.46402877697841727,0.4980694980694981
Naïve (mayoría),BTC,0.5038759689922481,0.5038759689922481,1.0,0.6701030927835051
RF Classifier,BTC,0.4974160206718346,0.5011764705882353,0.5461538461538461,0.5226993865030675
XGB Classifier,BTC,0.4883720930232558,0.4918032786885246,0.46153846153846156,0.47619047619047616
LSTM Classifier,BTC,0.5064599483204134,0.5092165898617511,0.5666666666666667,0.5364077669902912
