Model,Ticker,Horizon,RMSE,RMSE_CI_low,RMSE_CI_high,MAE,R2,DA,DA_CI_low,DA_CI_high
Naïve,AAPL,5d,0.04085857822227045,0.03681004378955062,0.045451392684151846,0.03043914283786307,-0.0075158571779738725,0.0,0.0,0.0
Random Forest,AAPL,5d,0.040987058452932414,0.03662881615795488,0.04572817007834362,0.030325799662862137,-0.013862107944343283,0.5164410058027079,0.4738394584139265,0.5589941972920697
XGBoost,AAPL,5d,0.04068695943469105,0.036425122228527944,0.0453808996788988,0.030277845833518887,0.0009301300404328527,0.539651837524178,0.4990328820116054,0.5803191489361701
Naïve,BTC,5d,0.05359610214038426,0.050593139322598034,0.05671756492988265,0.040593190002485346,-0.0031811198473108426,0.0,0.0,0.0
Random Forest,BTC,5d,0.05895954299963116,0.05587368416608704,0.061954803531503996,0.045993035796291645,-0.2140068997468385,0.46511627906976744,0.4315245478036176,0.5
XGBoost,BTC,5d,0.053927621721741946,0.05091925396703081,0.05699743585551296,0.041182297249152004,-0.015629889184318735,0.5142118863049095,0.4806201550387597,0.5490956072351422
Naïve,JNJ,5d,0.023902014683199056,0.022205616085545932,0.02554699589628204,0.018622732784817582,-0.031237123747192674,0.0,0.0,0.0
Random Forest,JNJ,5d,0.024355299157657734,0.022683793296073118,0.026042296259925015,0.01877684535399661,-0.07072133886765841,0.48336594911937375,0.44222113502935423,0.5245107632093933
XGBoost,JNJ,5d,0.023674139961299006,0.02198488318212405,0.02527587132773072,0.018451814538806295,-0.01166783641341862,0.5694716242661448,0.5303326810176126,0.612573385518591
Naïve,JPM,5d,0.034334579818686886,0.03171248882430235,0.03707792224674365,0.02624431473940371,-0.022958416589056174,0.0,0.0,0.0
Random Forest,JPM,5d,0.03753493279668718,0.03439145887075612,0.040574463210844576,0.028147049704344833,-0.22254763917462128,0.57421875,0.53125,0.619140625
XGBoost,JPM,5d,0.03399570196406186,0.0311935738941224,0.036891455225948784,0.02556657150966862,-0.002865133324170488,0.623046875,0.580078125,0.6640625
Naïve,XOM,5d,0.03211826481823849,0.029312143061984344,0.034957063659234504,0.025217657611389856,-0.021803979993509914,0.0,0.0,0.0
Random Forest,XOM,5d,0.03478834692102326,0.031858627632879714,0.03771013733098257,0.02711983637270898,-0.19875663923863374,0.5374280230326296,0.4952015355086372,0.5797024952015355
XGBoost,XOM,5d,0.03193018343358754,0.02910745947862928,0.034876526567791555,0.024996590148688543,-0.00987185301319582,0.5796545105566219,0.5393474088291746,0.6199616122840691
Naïve,AAPL,5d,0.04085857822227045,0.03681004378955062,0.045451392684151846,0.03043914283786307,-0.0075158571779738725,0.0,0.0,0.0
Naïve,JPM,5d,0.034334579818686886,0.03171248882430235,0.03707792224674365,0.02624431473940371,-0.022958416589056174,0.0,0.0,0.0
Naïve,JNJ,5d,0.023902014683199056,0.022205616085545932,0.02554699589628204,0.018622732784817582,-0.031237123747192674,0.0,0.0,0.0
Naïve,XOM,5d,0.03211826481823849,0.029312143061984344,0.034957063659234504,0.025217657611389856,-0.021803979993509914,0.0,0.0,0.0
Naïve,BTC,5d,0.05359610214038426,0.050593139322598034,0.05671756492988265,0.040593190002485346,-0.0031811198473108426,0.0,0.0,0.0
LSTM,AAPL,5d,0.04241265132107719,0.03869086131495904,0.046680648115794685,0.031691383761658705,-0.08561599673588383,0.5357833655705996,0.4951160541586074,0.5802707930367504
LSTM,JPM,5d,0.03674973618817827,0.033457240517805326,0.040337870780234264,0.027056705677028524,-0.17193346985202607,0.5546875,0.5078125,0.599609375
LSTM,JNJ,5d,0.024980007513212023,0.023280825222610654,0.026633924358714152,0.01940736561065528,-0.12635333819186845,0.44422700587084146,0.40503913894324856,0.487279843444227
LSTM,XOM,5d,0.03316774009014141,0.03022874192911263,0.03604108859085135,0.026048009938009962,-0.0896705255869148,0.527831094049904,0.48939539347408834,0.5701055662188099
LSTM,BTC,5d,0.05551818327010688,0.052424579355654546,0.05864753761643421,0.04289648897610785,-0.07642414364712069,0.4935400516795866,0.4599160206718347,0.5284237726098191
