Model,Ticker,Horizon,RMSE,RMSE_CI_low,RMSE_CI_high,MAE,R2,DA,DA_CI_low,DA_CI_high
Naïve,AAPL,1d,0.017626932989837717,0.015190629127028848,0.02046223435816861,0.011720681618297092,-0.0015270216018361538,0.0,0.0,0.0
Naïve,JPM,1d,0.01575874027907789,0.01377983740656758,0.01804762816388691,0.010738870620291876,-0.004341182433689195,0.0,0.0,0.0
Naïve,JNJ,1d,0.011126655741007565,0.0098401063513498,0.012697672032260214,0.007865374453363154,-0.00550305533855866,0.0,0.0,0.0
Naïve,XOM,1d,0.013984874212146808,0.012868550243254461,0.015179090625409756,0.010571474229390422,-0.003864657107480518,0.0,0.0,0.0
Naïve,BTC,1d,0.025150958338903143,0.023413349272066723,0.026967561987850445,0.01793662967127504,-0.0002889017431062513,0.0,0.0,0.0
Naïve,AAPL,5d,0.04085857822227045,0.03681004378955062,0.045451392684151846,0.03043914283786307,-0.0075158571779738725,0.0,0.0,0.0
Naïve,JPM,5d,0.034334579818686886,0.03171248882430235,0.03707792224674365,0.02624431473940371,-0.022958416589056174,0.0,0.0,0.0
Naïve,JNJ,5d,0.023902014683199056,0.022205616085545932,0.02554699589628204,0.018622732784817582,-0.031237123747192674,0.0,0.0,0.0
Naïve,XOM,5d,0.03211826481823849,0.029312143061984344,0.034957063659234504,0.025217657611389856,-0.021803979993509914,0.0,0.0,0.0
Naïve,BTC,5d,0.05359610214038426,0.050593139322598034,0.05671756492988265,0.040593190002485346,-0.0031811198473108426,0.0,0.0,0.0
ARIMA,AAPL,1d,0.017745379230100215,0.01539040318933433,0.020427504697424367,0.011800787084443523,-0.015031999997976664,0.4844961240310077,0.43991663650348384,0.5241779497098646
ARIMA,JPM,1d,0.01581543300992919,0.013782964504958764,0.018226343188960402,0.010751488507903719,-0.01158050020552781,0.5440313111545988,0.4999755381604697,0.5878992417279412
ARIMA,JNJ,1d,0.011132998625343843,0.009860644000020284,0.012653904771656956,0.007877873005408605,-0.0066497803916614195,0.5048923679060665,0.463747553816047,0.5459882583170255
ARIMA,XOM,1d,0.013971183116615384,0.012841583711535704,0.015174997914372976,0.01055702017442968,-0.0019000660688153204,0.5366795366795367,0.4932063695361568,0.5802832539800624
ARIMA,BTC,1d,0.025134789192783915,0.023396942865779192,0.026963767890045447,0.017945718820513573,0.0009968240930604555,0.5038759689922481,0.4715762273901809,0.5387596899224806
ARIMA,AAPL,5d,0.02148536562134952,0.019092894737592556,0.024131505584454458,0.015103197198466676,0.721406559347979,0.8220502901353965,0.7891682785299806,0.8549323017408124
ARIMA,JPM,5d,0.018460773757283038,0.01652366590603692,0.020328303883310084,0.013457805705877169,0.7042707336393033,0.81640625,0.78125,0.849609375
ARIMA,JNJ,5d,0.013811322212511783,0.012497068228939878,0.015291842475287271,0.010091414189274757,0.6556817552051961,0.8317025440313112,0.7945205479452054,0.863013698630137
ARIMA,XOM,5d,0.016955315028886017,0.015621467435456407,0.018253415780542015,0.013213926057334287,0.7152425025766651,0.8349328214971209,0.8042226487523992,0.8675623800383877
ARIMA,BTC,5d,0.03101759627580788,0.029169682083509403,0.033030708423657434,0.022966074158519964,0.664007784369349,0.8062015503875969,0.7777777777777778,0.834625322997416
Random Forest,AAPL,1d,0.017838112844026855,0.01521646604222158,0.020855210340530676,0.011824933899348956,-0.0256684062257444,0.5484496124031008,0.5067698259187621,0.5899705553806246
Random Forest,JPM,1d,0.01581912487675643,0.013794536248632652,0.01808697366945096,0.010793231144455483,-0.012052830793502167,0.5499021526418787,0.5048923679060665,0.5913666311087917
Random Forest,JNJ,1d,0.011103377127926615,0.009811453834976917,0.012655347442218008,0.007871559514419478,-0.0013001336411666564,0.512720156555773,0.47162426614481406,0.5577299412915852
Random Forest,XOM,1d,0.01389275140718315,0.012829901979131418,0.014985826928236566,0.010581180115253367,0.00931733265128254,0.5115830115830116,0.4662813102119461,0.555989980844632
Random Forest,BTC,1d,0.025625894356594497,0.023963049131527196,0.027487054726773194,0.018490852929643975,-0.03842333175939561,0.4844961240310077,0.45219638242894056,0.5194121447028424
Random Forest,AAPL,5d,0.040987058452932414,0.03662881615795489,0.04572817007834363,0.030325799662862144,-0.013862107944343283,0.5164410058027079,0.4738394584139265,0.5589941972920697
Random Forest,JPM,5d,0.037534932796687195,0.03439145887075612,0.04057446321084458,0.028147049704344833,-0.22254763917462217,0.57421875,0.53125,0.619140625
Random Forest,JNJ,5d,0.024355299157657745,0.022683793296073132,0.026042296259925032,0.018776845353996617,-0.07072133886765952,0.48336594911937375,0.44222113502935423,0.5245107632093933
Random Forest,XOM,5d,0.03478834692102326,0.03185862763287972,0.03771013733098258,0.02711983637270898,-0.19875663923863374,0.5374280230326296,0.4952015355086372,0.5797024952015355
Random Forest,BTC,5d,0.05895954299963117,0.055873684166087054,0.06195480353150401,0.04599303579629166,-0.21400689974683895,0.46511627906976744,0.4315245478036176,0.5
XGBoost,AAPL,1d,0.017602628869560776,0.015367288002121946,0.020222180368218816,0.01172013373564821,0.0012328972438225838,0.5232558139534884,0.4786821705426357,0.565918943328065
XGBoost,JPM,1d,0.015730292525323816,0.013703170947942073,0.018031616927425508,0.010680178953586599,-0.0007183722778165702,0.5636007827788649,0.5196059283088236,0.60546875
XGBoost,JNJ,1d,0.011082257898005621,0.009807046325343153,0.012643983286889043,0.007824890791026948,0.0025052989621167088,0.5518590998043053,0.5107142857142858,0.5929549902152642
XGBoost,XOM,1d,0.013966976750449691,0.012831994714037086,0.015170589437483228,0.010547984351076692,-0.0012968638795201048,0.5366795366795367,0.4932063695361568,0.5802832539800624
XGBoost,BTC,1d,0.02520310476854872,0.023490214161448753,0.027033266989655014,0.0179940789613559,-0.004441075058555288,0.5,0.4664082687338501,0.5335917312661499
XGBoost,AAPL,5d,0.04068695943469104,0.03642512222852794,0.045380899678898794,0.030277845833518884,0.0009301300404329638,0.539651837524178,0.4990328820116054,0.5803191489361701
XGBoost,JPM,5d,0.033995701964061854,0.031193573894122393,0.03689145522594879,0.02556657150966861,-0.002865133324170488,0.623046875,0.580078125,0.6640625
XGBoost,JNJ,5d,0.023674139961299,0.021984883182124045,0.025275871327730712,0.01845181453880629,-0.011667836413417954,0.5694716242661448,0.5303326810176126,0.612573385518591
XGBoost,XOM,5d,0.031930183433587535,0.029107459478629277,0.034876526567791555,0.024996590148688536,-0.009871853013195375,0.5796545105566219,0.5393474088291746,0.6199616122840691
XGBoost,BTC,5d,0.053927621721741946,0.05091925396703081,0.05699743585551296,0.041182297249152004,-0.015629889184318735,0.5142118863049095,0.4806201550387597,0.5490956072351422
LSTM,AAPL,1d,0.017998202110882447,0.01563143661025534,0.020716988854659925,0.012109056679537924,-0.04416086779210193,0.5038759689922481,0.4601718785278844,0.5473933822839008
LSTM,JPM,1d,0.016165927551605976,0.014183566947978099,0.018405509170753474,0.011120736029404889,-0.05691370997111633,0.49706457925636005,0.44921377144607844,0.538183020425636
LSTM,JNJ,1d,0.011291440346432908,0.01005167594301904,0.01278335532311362,0.008067073755303116,-0.03550638507702586,0.46771037181996084,0.4265655577299413,0.5088062622309197
LSTM,XOM,1d,0.01427481869422709,0.013059644803780572,0.015478814916365522,0.010784779029313811,-0.045921853817556535,0.48841698841698844,0.4442253861003861,0.5338491295938105
LSTM,BTC,1d,0.025785843787878928,0.024041719136906784,0.027647107530108964,0.018659089937969428,-0.051426864688147944,0.5051679586563308,0.4676679586563308,0.541343669250646
LSTM,AAPL,5d,0.0427471514931253,0.03868681154006801,0.047078050421623566,0.031403289216928684,-0.10280760008742784,0.5067698259187621,0.46421663442940037,0.5493230174081238
LSTM,JPM,5d,0.03531244781201227,0.032441759842346866,0.03821538812050621,0.026588950684499506,-0.08205703442913515,0.478515625,0.43745117187500004,0.519580078125
LSTM,JNJ,5d,0.024985604401666285,0.02329700938542102,0.026598101012329175,0.019372307956469447,-0.1268581242868576,0.4500978473581213,0.410958904109589,0.4931506849315068
LSTM,XOM,5d,0.03291814398871283,0.03023554280871272,0.03586825332936764,0.02574164908333675,-0.07333210985063343,0.5335892514395394,0.491362763915547,0.5738963531669866
LSTM,BTC,5d,0.05689253876769456,0.053764189570916776,0.059933287880485596,0.044243138855366515,-0.13037766058074252,0.4844961240310077,0.4509043927648579,0.5180878552971576
