Ticker,Horizon,Model1,Model2,DM_stat,p_value,Winner
AAPL,1d,Transformer,Naive,2.3739730417937603,0.017962839192017938,Naive
JPM,1d,Transformer,Naive,3.015287103189499,0.00269504618798645,Naive
JNJ,1d,Transformer,Naive,4.752012172201173,2.6228454398715413e-06,Naive
XOM,1d,Transformer,Naive,4.742003480840433,2.7366197608298266e-06,Naive
BTC,1d,Transformer,Naive,4.995888613731647,7.245938310002507e-07,Naive
AAPL,5d,Transformer,Naive,5.814033863085345,1.0696709276183723e-08,Naive
JPM,5d,Transformer,Naive,3.685830925963498,0.00025232083664878334,Naive
JNJ,5d,Transformer,Naive,4.91250114133116,1.2132540826150041e-06,Naive
XOM,5d,Transformer,Naive,5.509237513461861,5.676804410813132e-08,Naive
BTC,5d,Transformer,Naive,8.425930691955966,1.7382576365593086e-16,Naive
